filename,template_title,template_type,page_or_cpt,required_plugin,dynamic_source,recommended_url,theme_builder_condition,manual_steps,status,elements,widgets,responsive_overrides,shortcodes
works.json,آثار هنرجویان,page,/works,elementor + bdthemes-element-pack-pro,Dynamic Grid روی CPT az_artwork,/works,,پس از Import، Loop Item اثر را در Dynamic Grid انتخاب کنید.,READY — NEEDS DYNAMIC BINDING,88,39,40,
single-artwork.json,تک‌اثر — جزئیات,single,CPT az_artwork,elementor-pro,ACF: technique/materials/dimensions/gallery,/works/{slug},Theme Builder → Single → Artwork (az_artwork),فیلدهای ACF را در ویجت‌های مربوط انتخاب کنید.,READY — NEEDS DYNAMIC BINDING,71,27,29,
blog.json,مجله,page,/blog,elementor,ویجت Posts,/blog,,اگر از Theme Builder استفاده می‌کنید، الگوی آرشیو را به نوشته‌ها متصل کنید.,READY,20,8,10,
single-post.json,تک‌نوشته,single,نوشته‌ها,elementor-pro,محتوای نوشته,/blog/{slug},Theme Builder → Single → Posts,,READY,36,12,15,
instructors.json,مدرسان,page,/instructors,elementor + bdthemes-element-pack-pro,Dynamic Grid روی CPT instructor,/instructors,,در صورت استفاده از CPT مدرس، Loop Item مربوط را انتخاب کنید.,READY — NEEDS DYNAMIC BINDING,66,29,30,
single-instructor.json,تک‌مدرس,single,CPT instructor,elementor-pro,ACF: specialty/experience/biography/featured_courses,/instructors/{slug},Theme Builder → Single → Instructor,فیلدهای ACF را متصل کنید.,READY — NEEDS DYNAMIC BINDING,71,27,28,az_instructor_courses
gallery.json,گالری کارگاه,page,/gallery,elementor,,/gallery,,تصاویر واقعی کارگاه را جایگزین کنید.,READY — NEEDS REAL CONTENT,30,8,17,
faq.json,پرسش‌های پرتکرار,page,/faq,elementor,,/faq,,پرسش‌ها را با پرسش‌های واقعی کارگاه تکمیل کنید.,READY — NEEDS REAL CONTENT,40,15,14,
support.json,پشتیبانی,page,/support,elementor,,/support,,روش واقعی پاسخ‌گویی را جایگزین کنید.,READY — NEEDS REAL CONTENT,45,21,24,
verify.json,استعلام گواهی,page,/verify,kit-php,فرم استعلام با nonce,/verify,,نیازمند backend/asadzadeh-kit-shortcodes.php,NEEDS CUSTOM BACKEND,40,19,15,az_certificate_verify
privacy.json,حریم خصوصی,page,/privacy,elementor,,/privacy,,پیش‌نویس حقوقی — پیش از انتشار بازبینی شود.,READY — NEEDS REAL CONTENT,32,16,8,
terms.json,شرایط استفاده,page,/terms,elementor,,/terms,,پیش‌نویس حقوقی — پیش از انتشار بازبینی شود.,READY — NEEDS REAL CONTENT,32,16,8,
rules.json,قوانین دوره و کلاس,page,/rules,elementor,,/rules,,پیش‌نویس حقوقی — پیش از انتشار بازبینی شود.,READY — NEEDS REAL CONTENT,29,14,8,
refund.json,شرایط بازگشت وجه,page,/refund,elementor,,/refund,,پیش‌نویس حقوقی — پیش از انتشار بازبینی شود.,READY — NEEDS REAL CONTENT,29,14,8,
shipping.json,ارسال و تحویل,page,/shipping,elementor,,/shipping,,پیش‌نویس حقوقی — پیش از انتشار بازبینی شود.,READY — NEEDS REAL CONTENT,26,12,8,
courses.json,دوره‌های آنلاین — فهرست,page,/courses,learndash-lms,ld_course_list,/courses,,,READY,101,43,35,ld_course_list
single-course.json,تک‌دوره — LearnDash,single,sfwd-courses,elementor-pro + learndash-lms + kit-php,عنوان/خلاصه/تصویر شاخص + az_course_* ,/courses/{slug},Theme Builder → Single → Courses (sfwd-courses),قیمت، سطح و مدرس از طریق az_course_meta خوانده می‌شود؛ در صورت نبود فیلد، مقادیر REPLACE جایگزین کنید.,NEEDS CUSTOM BACKEND,192,90,42,az_course_meta learndash_course_progress course_content az_related_courses az_course_cta
lesson.json,درس,single,sfwd-lessons,elementor-pro + learndash-lms + kit-php,محتوای درس + az_course_curriculum,/lessons/{slug},Theme Builder → Single → Lessons (sfwd-lessons),,NEEDS CUSTOM BACKEND,37,17,9,learndash_course_progress az_course_cta az_course_curriculum
topic.json,موضوع,single,sfwd-topic,elementor-pro + learndash-lms,محتوای موضوع,/topics/{slug},Theme Builder → Single → Topics (sfwd-topic),,READY,17,6,5,learndash_course_progress
quiz.json,آزمون,single,sfwd-quiz,elementor-pro + learndash-lms,آزمون LearnDash,/quiz/{slug},Theme Builder → Single → Quizzes (sfwd-quiz),,READY,33,15,10,course_content
enrolled-course.json,پخش‌کنندهٔ دوره (در حال یادگیری),page,/dashboard/courses/{id}/player,learndash-lms + kit-php,course_content + az_course_curriculum,/learn/{course},,این صفحه باید به مسیر یادگیری LearnDash متصل شود.,NEEDS CUSTOM BACKEND,51,24,10,learndash_course_progress az_course_curriculum
learning-paths.json,مسیرهای یادگیری — فهرست,page,/learning-paths,elementor + acf-pro + kit-php,CPT learning_path,/learning-paths,,در صورت نبود CPT، فهرست ثابت نمایش داده می‌شود.,READY — NEEDS DYNAMIC BINDING,111,50,40,az_path_courses
learning-path-single.json,تک‌مسیر یادگیری,single,CPT learning_path,elementor-pro + acf-pro + kit-php,ACF path_courses / outcomes / faq,/learning-paths/{slug},Theme Builder → Single → Learning Path,Slugهای فارسی باید با تنظیمات پیوند یکتا (UTF-8) بررسی شوند.,NEEDS CUSTOM BACKEND,119,53,31,az_path_courses
workshops.json,کلاس‌های حضوری — فهرست,page,/workshops,woocommerce,products category=workshop,/workshops,,دستهٔ محصول با slug دقیق workshop ایجاد شود.,READY — NEEDS REAL CONTENT,135,56,41,products
class-single.json,تک‌کلاس حضوری,product,محصول دستهٔ workshop,elementor-pro + woocommerce + kit-php,ویجت‌های ووکامرس + az_workshop_meta,/product/{slug},Theme Builder → Single Product → In Product Category: workshop,ظرفیت = موجودی محصول.,NEEDS CUSTOM BACKEND,73,32,15,az_workshop_meta
shop.json,فروشگاه,product-archive,آرشیو محصولات,elementor-pro + woocommerce,woocommerce-archive-products,/shop,Theme Builder → Products Archive → All Products,,READY,25,10,12,products
single-product.json,تک‌محصول,product,محصولات,elementor-pro + woocommerce,ویجت‌های ووکامرس,/product/{slug},Theme Builder → Single Product → All Products,قالب کلاس حضوری اولویت بالاتری برای دستهٔ workshop دارد.,READY,31,12,7,
dashboard.json,داشبورد هنرجو,page,/dashboard,learndash-lms + woocommerce + kit-php,az_dashboard_stats / az_continue_learning / az_my_courses,/dashboard,,دسترسی این صفحه باید به کاربران واردشده محدود شود.,NEEDS CUSTOM BACKEND,110,50,42,az_dashboard_stats az_continue_learning az_my_courses az_assignments az_my_certificates az_my_orders
my-courses.json,دوره‌های من,page,/dashboard/courses,learndash-lms + kit-php,az_my_courses,/dashboard/courses,,,NEEDS CUSTOM BACKEND,75,33,22,az_dashboard_stats az_my_courses
my-classes.json,کلاس‌های حضوری من,page,/dashboard/classes,woocommerce + kit-php,az_my_workshops,/dashboard/classes,,,NEEDS CUSTOM BACKEND,78,35,23,az_my_workshops
assignments.json,تکالیف,page,/dashboard/assignments,learndash-lms + kit-php,az_assignments,/dashboard/assignments,,ارسال فایل باید با تنظیمات تکلیف LearnDash هماهنگ شود.,NEEDS CUSTOM BACKEND,66,33,17,az_assignments az_assignment_upload
certificates.json,گواهی‌های من,page,/dashboard/certificates,learndash-lms + kit-php,az_my_certificates,/dashboard/certificates,,,NEEDS CUSTOM BACKEND,71,30,23,az_my_certificates
certificate-single.json,جزئیات گواهی,page,/dashboard/certificates/{id},kit-php,az_certificate_detail,/dashboard/certificates/{id},,,NEEDS CUSTOM BACKEND,29,14,11,az_certificate_detail
orders.json,سفارش‌های من,page,/dashboard/orders,woocommerce + kit-php,az_my_orders,/dashboard/orders,,,NEEDS CUSTOM BACKEND,42,19,9,az_my_orders
order-detail.json,جزئیات سفارش,page,/dashboard/orders/{id},woocommerce + kit-php,az_order_detail,/dashboard/orders/{id},,,NEEDS CUSTOM BACKEND,33,14,9,az_order_detail
profile.json,پروفایل,page,/dashboard/profile,elementor-pro + kit-php,az_profile_form,/dashboard/profile,,,NEEDS CUSTOM BACKEND,42,18,9,az_profile_form
account-security.json,امنیت حساب,page,/dashboard/security,digits + kit-php,تغییر شماره و رمز از طریق Digits,/dashboard/security,,فرم‌های تغییر شماره/رمز با shortcode واقعی Digits جایگزین شود.,NEEDS CUSTOM BACKEND,43,22,12,az_security_sessions
cart.json,سبد خرید,page,/cart,woocommerce,woocommerce_cart,/cart,,,READY,74,34,26,woocommerce_cart
cart-empty.json,سبد خرید — خالی,page,/cart (حالت خالی),elementor,,/cart,,در صورت استفاده از ووکامرس، این صفحه به‌عنوان جایگزین خالی نمایش داده می‌شود.,READY,41,18,23,
checkout.json,تسویه‌حساب,page,/checkout,woocommerce + persian-woocommerce,woocommerce_checkout,/checkout,,سربرگ ساده‌شده برای کاهش حواس‌پرتی؛ هدر اصلی را غیرفعال کنید.,READY,26,12,6,woocommerce_checkout
checkout-error.json,تسویه‌حساب — خطا,page,/checkout (حالت خطا),woocommerce,woocommerce_checkout,/checkout,,نمونهٔ خطاها برای بررسی ظاهری است.,READY,26,12,6,woocommerce_checkout
payment-success.json,پرداخت موفق,page,/checkout/success,elementor + woocommerce,سفارش ووکامرس,/checkout/success,,این صفحه را به Thank You page ووکامرس متصل کنید.,READY,24,12,9,
payment-failed.json,پرداخت ناموفق,page,/checkout/failed,elementor + woocommerce,,/checkout/failed,,,READY,26,13,9,
my-account.json,حساب کاربری,page,/my-account,woocommerce,woocommerce_my_account,/my-account,,پیوندها با پنل هنرجو یکسان شده است.,READY,32,14,20,woocommerce_my_account
order-tracking.json,پیگیری سفارش,page,/order-tracking,woocommerce + kit-php,az_order_tracking,/order-tracking,,,NEEDS CUSTOM BACKEND,17,7,4,az_order_tracking woocommerce_order_tracking
preorder.json,پیش‌خرید / لیست انتظار,page,/preorder,elementor-pro + kit-php,az_preorder_form,/preorder,,,NEEDS CUSTOM BACKEND,26,12,7,az_preorder_form
auth.json,ورود / ثبت‌نام,page,/auth,digits,dm-page,/auth,,شورتکد Digits را با نسخهٔ نصب‌شده تطبیق دهید.,READY — NEEDS DYNAMIC BINDING,22,12,5,dm-page
otp.json,تأیید کد یک‌بارمصرف,page,/auth/verify,digits,همان فرم Digits (در صورت مدیریت داخلی OTP),/auth/verify,,اگر Digits مرحلهٔ OTP را جداگانه ارائه نمی‌دهد، این صفحه را به جریان اصلی متصل نکنید.,READY — NEEDS DYNAMIC BINDING,29,15,10,dm-page
recovery.json,بازیابی حساب,page,/auth/recovery,digits,dm-forgot-password-page,/auth/recovery,,,READY — NEEDS DYNAMIC BINDING,20,11,5,dm-forgot-password-page
auth-error.json,خطای ورود,page,/auth/error,digits + elementor,dm-login-page,/auth/error,,,READY — NEEDS DYNAMIC BINDING,22,12,7,dm-login-page
search.json,جست‌وجو,page,/search,elementor + kit-php,نتایج وردپرس,/search,,در صورت استفاده از قالب Search Results المنتور پرو، این صفحه را به آن متصل کنید.,READY,38,17,21,az_search_results
no-results.json,بدون نتیجه,page,/search (بدون نتیجه),elementor + kit-php,az_no_results,/search,,,NEEDS CUSTOM BACKEND,68,31,23,az_no_results
not-found.json,صفحهٔ ۴۰۴,page,/404,elementor,,/404,,در صورت فعال‌بودن قالب ۴۰۴ المنتور پرو، از همان استفاده کنید.,READY,17,9,6,
generic-error.json,خطای عمومی,page,/error,elementor,,/error,,,READY,15,7,5,
maintenance.json,در دست تعمیر,page,/maintenance,elementor,,/maintenance,,در زمان فعال‌سازی، این صفحه را به‌عنوان صفحهٔ نگه‌دارنده تنظیم کنید.,READY,15,5,4,
loop-course.json,Loop — دوره,loop-item,sfwd-courses,elementor-pro + learndash-lms + kit-php,عنوان/خلاصه/تصویر + az_course_meta,,در Loop Grid یا Dynamic Grid مربوط به دوره‌ها انتخاب شود,پس از Import، این Loop Item را در ویجت گرید انتخاب کنید.,READY — NEEDS DYNAMIC BINDING,9,5,3,az_course_meta
loop-product.json,Loop — محصول / کلاس,loop-item,product,elementor-pro + woocommerce,عنوان/خلاصه/تصویر محصول,,در گرید محصولات انتخاب شود,قیمت در صورت نیاز با ویجت Price به کارت اضافه شود.,READY — NEEDS DYNAMIC BINDING,7,4,2,
loop-post.json,Loop — نوشته,loop-item,post,elementor-pro,عنوان/خلاصه/تصویر نوشته,,در گرید نوشته‌ها انتخاب شود,,READY,7,4,3,
loop-artwork.json,Loop — اثر,loop-item,az_artwork,elementor-pro + acf-pro,عنوان/تصویر اثر + ACF technique,,در Dynamic Grid آثار انتخاب شود,فیلد ACF تکنیک را در صورت نیاز اضافه کنید.,READY — NEEDS DYNAMIC BINDING,7,4,3,
loop-instructor.json,Loop — مدرس,loop-item,instructor,elementor-pro + acf-pro,نام/تصویر مدرس + ACF specialty,,در Dynamic Grid مدرسان انتخاب شود,,READY — NEEDS DYNAMIC BINDING,7,4,3,
